,hyperlink,source_page_id
376,/wiki/Powder_(substance),1
377,/wiki/Rolling_(metalworking),1
378,/wiki/Cold_rolling,1
379,/wiki/Hot_rolling,1
380,/wiki/Sheet_metal,1
381,/wiki/Shape,1
382,https://en.wiktionary.org/wiki/ring,1
383,https://en.wiktionary.org/wiki/transverse,1
384,/wiki/Cryorolling,1
385,/w/index.php?title=Orbital_(metalwork)&action=edit&redlink=1,1
386,/w/index.php?title=Cross-rolling&action=edit&redlink=1,1
387,/wiki/Screw_thread,1
388,/wiki/Screw_thread,1
389,/wiki/Thread_rolling,1
390,/wiki/Extrusion,1
391,/wiki/Impact_extrusion,1
392,/wiki/Machine_press,1
393,/wiki/Embossing_(manufacturing),1
394,/w/index.php?title=Stretch_forming&action=edit&redlink=1,1
395,/wiki/Die_(manufacturing),1
396,/wiki/Drawing_(manufacturing),1
397,/wiki/Sheet_metal,1
398,/wiki/Wire,1
399,/w/index.php?title=Bulging&action=edit&redlink=1,1
400,/wiki/Necking_(engineering),1
401,/w/index.php?title=Nosing_(manufacturing)&action=edit&redlink=1,1
402,/wiki/Deep_drawing,1
403,/wiki/Bending,1
404,/wiki/Hemming_and_seaming,1
405,/wiki/Shearing_(metalworking),1
406,/wiki/Blanking_and_piercing,1
407,/wiki/Cutting,1
408,/wiki/Blanking_and_piercing#Shaving,1
409,/wiki/Notching,1
410,/wiki/Perforating,1
411,/wiki/Nibbling,1
412,/wiki/Die_cutting_(web)#Dinking,1
413,/wiki/Lancing_(shearing),1
414,/wiki/Cutoff_(metalworking),1
415,/wiki/Stamping_(metalworking),1
416,/wiki/Stamping_(metalworking),1
417,/wiki/Leather_stamping,1
418,/wiki/Progressive_stamping,1
419,/wiki/Coining_(metalworking),1
420,/wiki/Straight_shearing,1
421,/wiki/Slitting,1
422,/w/index.php?title=Redrawing&action=edit&redlink=1,1
423,/wiki/Ironing_(metalworking),1
424,/wiki/Flattening,1
425,/wiki/Swaging,1
426,/wiki/Metal_spinning,1
427,/wiki/Peening,1
428,/wiki/Guerin_process,1
429,/w/index.php?title=Wheelon_process&action=edit&redlink=1,1
430,/w/index.php?title=Magnetic_pulse&action=edit&redlink=1,1
431,/wiki/Explosive_forming,1
432,/wiki/Electroforming,1
433,/wiki/Staking_(manufacturing),1
434,/wiki/Hemming_and_seaming,1
435,/wiki/Flanging,1
436,/wiki/Straightening,1
437,/wiki/Decambering,1
438,/wiki/Cold_sizing,1
439,/wiki/Hubbing,1
440,/wiki/Hot_metal_gas_forming,1
441,/wiki/Curling_(metalworking),1
442,/wiki/Hydroforming,1
443,/w/index.php?title=List_of_manufacturing_processes&action=edit&section=5,1
444,/wiki/Machining,1
445,/wiki/Milling_machine,1
446,/wiki/Grist_mill,1
447,/wiki/Hammer_mill,1
448,/wiki/Ball_mill,1
449,/wiki/Buhrstone_mill,1
450,/wiki/Disc_mill,1
451,/wiki/Saw_mill,1
452,/wiki/Steel_mill,1
453,/wiki/Blast_furnace,1
454,/wiki/Smelting,1
455,/wiki/Refining,1
456,/wiki/Reduction_mill,1
457,/wiki/Annealing_(metallurgy),1
458,/wiki/Pickling_(metal),1
459,/wiki/Passivation_(chemistry),1
460,/wiki/Coating,1
461,/wiki/Milling_machine,1
462,/wiki/Turning,1
463,/wiki/Lathe,1
464,/wiki/Facing_(machining),1
465,/wiki/Boring_(manufacturing),1
466,/wiki/Single_pass_bore_finishing,1
467,/wiki/Metal_spinning,1
468,/w/index.php?title=Flow_turning&action=edit&redlink=1,1
469,/wiki/Knurling,1
470,/wiki/Hard_turning,1
471,/w/index.php?title=Cutoff_(parting)&action=edit&redlink=1,1
472,/wiki/Drilling,1
473,/wiki/Friction_drilling,1
474,/wiki/Reaming,1
475,/wiki/Countersinking,1
476,/wiki/Taps_and_dies,1
477,/wiki/Sawing,1
478,/wiki/File_(tool),1
479,/wiki/Broach_(metalworking),1
480,/wiki/Shaping_(metalworking),1
481,/wiki/Horizontal_plane,1
482,/wiki/Vertical_direction,1
483,/w/index.php?title=Special_purpose&action=edit&redlink=1,1
484,/wiki/Planing_(shaping),1
485,/w/index.php?title=Double_housing&action=edit&redlink=1,1
486,/w/index.php?title=Open-side&action=edit&redlink=1,1
487,/w/index.php?title=Edge_or_plate&action=edit&redlink=1,1
488,/w/index.php?title=Pit-type&action=edit&redlink=1,1
489,/wiki/Abrasive_jet_machining,1
490,/wiki/Water_jet_cutting,1
491,/wiki/Photochemical_machining,1
492,/w/index.php?title=Abrasive_belt&action=edit&redlink=1,1
493,/wiki/Honing_(metalworking),1
494,/wiki/Sharpening,1
495,/wiki/Electro-chemical_grinding,1
496,/wiki/Finishing_(manufacturing),1
497,/wiki/Industrial_finishing,1
498,/wiki/Abrasive_blasting,1
499,/wiki/Buffing,1
500,/wiki/Burnishing_(metal),1
501,/wiki/Electroplating,1
502,/wiki/Electropolishing,1
503,/wiki/Magnetic_field-assisted_finishing,1
504,/wiki/Etching,1
505,/wiki/Linishing,1
506,/wiki/Mass_finishing,1
507,/wiki/Tumble_finishing,1
508,/wiki/Spindle_finishing,1
509,/wiki/Vibratory_finishing,1
510,/wiki/Plating,1
511,/wiki/Polishing,1
512,/wiki/Superfinishing,1
513,/wiki/Wire_brushing,1
514,/wiki/Wood_router,1
515,/wiki/Hobbing,1
516,/wiki/Ultrasonic_machining,1
517,/wiki/Electrical_discharge,1
518,/wiki/Electrical_discharge_machining,1
519,/wiki/Electron_beam_machining,1
520,/wiki/Electrochemical_machining,1
521,/wiki/Chemical,1
522,/wiki/Photochemistry,1
523,/wiki/Laser_cutting,1
524,/wiki/Laser_drilling,1
525,/wiki/Grinding_(abrasive_cutting),1
526,/wiki/High_stock_removal,1
527,/wiki/Gashing,1
528,/wiki/Biomachining,1
529,/w/index.php?title=List_of_manufacturing_processes&action=edit&section=6,1
530,/wiki/Welding,1
531,/wiki/Arc_welding,1
532,/wiki/Manual_metal_arc_welding,1
533,/wiki/Shielded_metal,1
534,/wiki/Gas_metal,1
535,/w/index.php?title=Pulsed&action=edit&redlink=1,1
536,/wiki/Short_circuit,1
537,/w/index.php?title=Electrogas&action=edit&redlink=1,1
538,/w/index.php?title=Spray_transfer&action=edit&redlink=1,1
539,/wiki/Gas_tungsten,1
540,/wiki/Flux-cored,1
541,/wiki/Submerged_arc_welding,1
542,/wiki/Plasma_arc,1
543,/wiki/Carbon_arc,1
544,/wiki/Stud_welding,1
545,/w/index.php?title=Electroslag&action=edit&redlink=1,1
546,/wiki/Atomic_hydrogen,1
547,/w/index.php?title=Plasma-MIG&action=edit&redlink=1,1
548,/wiki/Metal_inert_gas,1
549,/w/index.php?title=Impregnated_tape&action=edit&redlink=1,1
550,/wiki/Regulated_Metal_Deposition,1
551,/wiki/Oxy-fuel_welding_and_cutting,1
552,/wiki/Oxygen,1
553,/wiki/Acetylene,1
554,/wiki/Methylacetylene_propadiene,1
555,/w/index.php?title=Air-acetylene&action=edit&redlink=1,1
556,/wiki/Oxyhydrogen,1
557,/w/index.php?title=Pressure_gas&action=edit&redlink=1,1
558,/wiki/Carbon_dioxide,1
559,/wiki/Resistance_welding,1
560,/wiki/Butt_welding,1
561,/wiki/Flash_butt_welding,1
562,/wiki/Shot_welding,1
563,/wiki/Spot_welding,1
564,/wiki/Projection_welding,1
565,/wiki/Seaming_(metalworking),1
566,/wiki/Upset_welding,1
567,/w/index.php?title=Percussion_(manufacturing)&action=edit&redlink=1,1
568,/w/index.php?title=Solid_state_welding&action=edit&redlink=1,1
569,/wiki/Ultrasonic_welding,1
570,/wiki/Explosion_Welding,1
571,/wiki/Diffusion,1
572,/wiki/Machine_press,1
573,/w/index.php?title=Isostatic_hot_gas&action=edit&redlink=1,1
574,/wiki/Vacuum_furnace,1
575,/wiki/Friction_welding,1
576,/wiki/Inertia,1
577,/wiki/Forge,1
578,/wiki/Cold_welding,1
579,/wiki/Rolling_(metalworking),1
580,/wiki/Electron_beam_welding,1
581,/wiki/Laser_welding,1
582,/wiki/Thermite,1
583,/wiki/Induction_welding,1
584,/wiki/Low_frequency,1
585,/wiki/High_frequency,1
586,/w/index.php?title=Heated_metal_plate&action=edit&redlink=1,1
587,/wiki/Solvent_welding,1
588,/wiki/Dielectric,1
589,/wiki/Magnetic_pulse_welding,1
590,/wiki/Radio_frequency_welding,1
591,/w/index.php?title=High_frequency_resistance&action=edit&redlink=1,1
592,/wiki/Electromagnetism,1
593,/w/index.php?title=Flow_welding&action=edit&redlink=1,1
594,/wiki/Resistance_welding,1
595,/wiki/Infrared,1
596,/wiki/Vacuum,1
597,/w/index.php?title=Hot-air-welding&action=edit&redlink=1,1
598,/wiki/Brazing,1
599,/wiki/Torch,1
600,/wiki/Induction_brazing,1
601,/wiki/Furnace_brazing,1
602,/wiki/Brazing#Dip_brazing,1
603,/wiki/Soldering,1
